                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0588,                 2.2177,                  1.317,                0.29772,                0.55489,                 0.3823,                0.26709,                0.97592,                 2.1336,                  1.284,             0.00036939,             0.00036939,             0.00036939
                      2,                 1.0433,                 1.7716,                 1.2786,                0.36075,                0.46406,                0.40369,                0.28409,                  1.049,                  1.968,                 1.3643,             0.00072507,             0.00072507,             0.00072507
                      3,                 1.0426,                 1.6076,                 1.2751,                0.43505,                0.50788,                0.47163,                0.32464,                 1.0361,                 1.6687,                 1.3286,              0.0010661,              0.0010661,              0.0010661
                      4,                 1.0159,                 1.5045,                 1.2571,                0.53054,                0.52625,                0.53702,                0.38028,                 0.9752,                 1.6829,                 1.2741,               0.001045,               0.001045,               0.001045
                      5,                0.99493,                 1.4168,                 1.2481,                 0.5628,                0.57305,                0.58532,                 0.4212,                 0.9111,                 1.3114,                 1.2369,               0.001023,               0.001023,               0.001023
                      6,                0.97236,                 1.3583,                 1.2403,                0.59943,                0.60988,                0.64981,                0.47961,                0.84924,                 1.1617,                 1.1994,               0.001001,               0.001001,               0.001001
                      7,                0.93906,                 1.2981,                  1.217,                0.71005,                0.58646,                0.66762,                0.49442,                0.84109,                 1.1095,                   1.18,             0.00097901,             0.00097901,             0.00097901
                      8,                0.93105,                 1.2735,                 1.2121,                0.65258,                0.63007,                0.68874,                0.52164,                0.81954,                 1.0352,                   1.17,             0.00095702,             0.00095702,             0.00095702
                      9,                0.92613,                 1.2398,                 1.2063,                0.66426,                0.63144,                 0.6831,                0.52019,                 0.8283,                 1.0411,                 1.1742,             0.00093502,             0.00093502,             0.00093502
                     10,                0.90274,                 1.1858,                 1.1911,                0.68059,                0.62816,                 0.7068,                0.52999,                0.80549,                 1.0287,                  1.162,             0.00091302,             0.00091302,             0.00091302
                     11,                0.88816,                  1.173,                 1.1858,                0.66665,                0.66491,                0.71076,                0.54308,                 0.7963,                0.99795,                 1.1558,             0.00089102,             0.00089102,             0.00089102
